UniqueIssueID,FirstSeenPR,LastSeenPR,Severity,SeverityChanges,Location,Description,Status,ResolutionPR,ResolutionEvidence,DuplicateCount,DuplicateIssueIDs,Source
U011,75,75,Nitpick,,CodeRabbit AI,- Wrap bare URLs in markdown link syntax. Lines 368–369 contain bare URLs. Wrap as `(https://ui.shadcn.com/docs/components)` (MD034).,UNKNOWN,,Nitpick - resolution unclear,1,PR75-6,CodeRabbit AI
U012,75,75,Nitpick,,CodeRabbit AI,- Add language identifier to code block. Line 304 markdown block should use ` ```markdown ` or ` ```plaintext ` for code block opening (MD040).,UNKNOWN,,Nitpick - resolution unclear,1,PR75-7,CodeRabbit AI
U013,75,75,LOW,,CodeRabbit AI,"- Clarify Shadcn toast component naming (toast vs sonner). Line 21 references ""Toast (undo notifications)"" as a NEW component, but line 159 lists ""sonner.tsx"" and line 181's bash command uses `sonner`",OPEN,,No resolution found,1,PR75-8,CodeRabbit AI
U014,75,75,LOW,,CodeRabbit AI,"- Clarify phase merge strategy—sequential vs. stacked. The PR review strategy is ambiguous. Line 57 states ""Merge to `064-phase1-setup`"" for Phase 2, but the base branch diagram shows 11 sibling phase",OPEN,,No resolution found,1,PR75-9,CodeRabbit AI
U015,75,75,LOW,,CodeRabbit AI,"- Align currency formatting imports—inconsistent across examples. Line 17 imports `formatCentsAsUSD` from `@/lib/currency`, but line 341 imports `formatCurrency` from `@/features/budgets`. For a devel",OPEN,,No resolution found,1,PR75-10,CodeRabbit AI
U016,75,75,MEDIUM,,Claude Code Bot,- Toast Component Naming Inconsistency. The plan mentions installing both `toast` and `sonner`. Shadcn has deprecated `toast` in favor of `sonner` (a better toast library). The plan correctly uses `so,OPEN,,No resolution found,1,PR75-11,Claude Code Bot
U017,75,75,MEDIUM,,Claude Code Bot,- Empty Component Availability. The doc recommends installing an `empty` component from Shadcn: `npx shadcn@latest add empty`. **Issue**: The `empty` component is not a standard Shadcn component. Shad,OPEN,,No resolution found,1,PR75-12,Claude Code Bot
U018,75,75,LOW,,Claude Code Bot,"- Test Coverage Targets Clarification. The plan states: Business Logic: 80% minimum, Financial Calculations: 90%+ minimum, Overall Project: 60% minimum. **Observation**: The ""Overall Project: 60%"" mig",OPEN,,No resolution found,1,PR75-13,Claude Code Bot
U019,75,75,LOW,,Claude Code Bot,- Cross-Feature Currency Import. Example shows: `import { formatCurrency } from '@/features/budgets';`. **Observation**: This creates a dependency on the budgets feature. If budgets feature changes it,OPEN,,No resolution found,1,PR75-14,Claude Code Bot
U020,75,75,Nitpick,,LanguageTool,"- Grammar spelling checks flagged ""ARIA progressbar"" and ""500ms"" but these are technically correct terms (ARIA attribute name and millisecond notation).",UNKNOWN,,Nitpick - resolution unclear,1,PR75-15,Unknown
U021,75,75,Nitpick,,markdownlint-cli2,"- 26 markdown lint violations (MD034 bare URLs, MD040 missing language identifiers, MD050 underscore vs asterisk for bold). All are style/formatting issues, no functional impact.",UNKNOWN,,Nitpick - resolution unclear,1,PR75-16,Unknown
U022,76,76,MEDIUM,,Claude Code Bot,"- Date Validation Edge Case - Timezone Handling. The function may allow past dates in edge cases due to timezone handling. When `startDate` is in ISO format (e.g., ""2025-11-04""), `new Date()` parses i",OPEN,,No resolution found,1,PR76-1,Claude Code Bot
U023,76,76,MEDIUM,,Claude Code Bot,"- Inconsistent Error Handling - `saveGoals()` vs `GoalResult` Pattern. `saveGoals()` throws an exception on error, but other methods (e.g., `addGoal()`, `updateGoal()`) return a `GoalResult` type with",OPEN,,No resolution found,1,PR76-2,Claude Code Bot
U024,76,76,LOW,,Claude Code Bot,"- Missing JSDoc - `saveGoals()`. `saveGoals()` lacks JSDoc documentation, while other public methods have it. **Recommendation**: Add JSDoc comment explaining parameters, return type, and exceptions.",OPEN,,No resolution found,1,PR76-3,Claude Code Bot
U025,76,76,LOW,,Claude Code Bot,"- Test Coverage Gap - `clearGoals()`. `clearGoals()` method exists but has no test coverage. While simple, it's a destructive operation that should be tested. **Recommendation**: Add test verifying cl",OPEN,,No resolution found,1,PR76-4,Claude Code Bot
U026,77,77,MEDIUM,,Claude Code Bot,"- Potential Import Cross-Feature Dependency. Importing formatCurrency from the budgets feature creates a cross-feature dependency. According to PayPlan feature-based architecture, shared utilities sho",OPEN,,No resolution found,1,PR77-1,Claude Code Bot
U027,77,77,LOW,,Claude Code Bot,"- MetricCard Could Use ARIA Labels. Individual MetricCard components do not have ARIA labels. Screen reader users hear ""Total Goals 5"" but do not get semantic context that this is a metric card. **Why",OPEN,,No resolution found,1,PR77-2,Claude Code Bot
U028,77,77,LOW,,Claude Code Bot,"- Barrel Export References Non-Existent Components. The barrel export references Phase 4 components that do not exist yet: GoalForm, GoalCard, GoalList, useGoals. **Recommendation**: Remove these expo",OPEN,,No resolution found,1,PR77-3,Claude Code Bot
U029,78,78,CRITICAL,,Claude Code Bot Review #1,- Missing Test Coverage for Business Logic. The `useGoals` hook contains business logic but has NO test file. Constitution v3.1 requires 80% coverage for business logic. This hook manages ALL CRUD ope,OPEN,,No resolution found,1,PR78-1,Unknown
U030,78,78,CRITICAL,,Claude Code Bot Review #1 & #2,"- Date Comparison Timezone Bug. `new Date('2025-11-05')` parses as UTC midnight. Users in non-UTC timezones cannot select ""today"" as target date. **Fix**: Use `new Date(targetDate + 'T00:00:00')` to f",OPEN,,No resolution found,1,PR78-2,Unknown
U031,78,78,HIGH,,Claude Code Bot Review #1 & #2,- Missing Error Handling in Goals Page. Using `alert()` instead of accessible error UI. This violates WCAG 2.2 AA. **Replace** with inline error message with ARIA attributes.,OPEN,,No resolution found,1,PR78-3,Unknown
U032,78,78,HIGH,,Claude Code Bot Review #1,"- Missing Focus Management in Dialogs. Add `autoFocus` to first input field for WCAG 2.2 AA compliance (2.4.3 Focus Order). Review #2 LOW issue #7 also mentions ""No auto-focus on form open"".",OPEN,,No resolution found,1,PR78-4,Unknown
U033,78,78,HIGH,,Claude Code Bot Review #1,"- Potential Memory Leak in useGoals Hook. If component unmounts during 300ms debounce, `refreshGoals()` will call `setGoals()` on unmounted component. Track mount status with `isMounted` flag.",OPEN,,No resolution found,1,PR78-5,Unknown
U034,78,78,MEDIUM,,Claude Code Bot Review #1 & #2,- Performance: Missing Memoization in GoalCard. Not blocking but wasteful for lists with 10+ goals. Defer to Linear.,OPEN,,No resolution found,1,PR78-6,Unknown
U035,78,78,MEDIUM,,Claude Code Bot Review #1,- Code Quality: Duplicate Status Mapping Logic. Three separate functions map status to variants/labels/colors. Violates DRY principle. Recommend refactoring into single STATUS_CONFIG object.,OPEN,,No resolution found,1,PR78-7,Unknown
U036,78,78,MEDIUM,,Claude Code Bot Review #1,- Accessibility: Color Contrast in At Risk Status. Yellow bg-yellow-500 may have contrast issues. Verify with WebAIM Contrast Checker.,OPEN,,No resolution found,1,PR78-8,Unknown
U037,78,78,LOW,,Claude Code Bot Review #1,- Code Style: Inconsistent React Import. React 19 + JSX transform doesn't require import React.,OPEN,,No resolution found,1,PR78-9,Unknown
U038,78,78,LOW,,Claude Code Bot Review #1,- Documentation: Missing JSDoc for Helper Functions. GoalCard helpers lack JSDoc comments. **Additional Issues from Review #2** (overlapping or minor variations): - **** Hardcoded button classes inste,OPEN,,No resolution found,1,PR78-10,Unknown
U039,79,79,HIGH,,Claude Code Bot,- Missing Tests for Business Logic (Constitution v3.1 Requirement). The getProgressIndicatorClass function is business logic but has no unit tests. Constitution v3.1 requires TDD for business logic (8,OPEN,,No resolution found,1,PR79-1,Claude Code Bot
U040,79,79,MEDIUM,,Claude Code Bot,- Color Contrast Verification Needed. PR mentions 3:1 contrast for UI elements but does not show actual contrast ratios tested. WCAG 2.2 AA Requirement: UI components (progress bars) require 3:1 minim,OPEN,,No resolution found,1,PR79-2,Claude Code Bot
U041,79,79,MEDIUM,,Claude Code Bot,- Tailwind Arbitrary Variant Safelist. Issue: Tailwind might not detect arbitrary variant classes for purging unless configured. **Recommendation**: Verify that these classes are included in productio,OPEN,,No resolution found,1,PR79-3,Claude Code Bot
U042,79,79,LOW,,Claude Code Bot,- TypeScript Type Safety. Suggestion: The status type is repeated in multiple helper functions. Consider extracting a GoalStatus type to types/goal.ts for single source of truth. **Benefit**: Easier r,OPEN,,No resolution found,1,PR79-4,Claude Code Bot
U043,79,79,LOW,,Claude Code Bot,"- Color Consistency. Observation: getStatusVariant uses Shadcn badge variants (default, destructive, secondary, outline) which map to different colors than the progress bar. **Question**: Do badge col",OPEN,,No resolution found,1,PR79-5,Claude Code Bot
U044,80,80,CRITICAL,,Claude Bot Review #2,- Missing Tests for Business Logic. Hook contains financial logic (179 lines) but has NO test file. Constitution v3.1 requires TDD for all business logic with 80%+ coverage. **Critical logic includes*,OPEN,,No resolution found,1,PR80-1,Unknown
U045,80,80,CRITICAL,,Claude Bot Review #2,"- Undo Race Condition. If user rapidly adds two contributions, clicking Undo on first toast may revert to wrong state (closure captures outdated previousState). **Risk**: Data corruption (user loses m",OPEN,,No resolution found,1,PR80-2,Unknown
U046,80,80,HIGH,,Claude Bot Review #1,- Missing undoContribution Dependency. The addContribution callback uses undoContribution in the toast action but doesn't list it in dependencies. This violates React Hooks rules and could cause stale,OPEN,,No resolution found,1,PR80-3,Unknown
U047,80,80,HIGH,,Claude Bot Review #2,"- Unnecessary Dependency. Added next-themes@^0.4.6 but not used (sonner.tsx hardcodes theme=""light""). **Fix**: npm uninstall next-themes (saves ~15KB).",OPEN,,No resolution found,1,PR80-4,Unknown
U048,80,80,MEDIUM,,Claude Bot Review #1,"- Missing Validation for Negative Amounts. No check that amountCents > 0 before adding contribution. While QUICK_ADD_AMOUNTS are always positive, the hook is a public API.",OPEN,,No resolution found,1,PR80-5,Unknown
U049,80,80,MEDIUM,,Claude Bot Review #1,- Toast Timeout Issue. previousState not cleared after 5s toast duration expires.,OPEN,,No resolution found,1,PR80-6,Unknown
U050,80,80,MEDIUM,,Claude Bot Review #2,- Deep Copy Missing. Shallow copy for undo state - should use deep copy for data integrity.,OPEN,,No resolution found,1,PR80-7,Unknown
U051,80,80,MEDIUM,,Claude Bot Review #2,- No Loading State. Quick-add buttons lack loading state for slow devices (could lead to double-click issues).,OPEN,,No resolution found,1,PR80-8,Unknown
U052,80,80,LOW,,Claude Bot Review #1,- Missing aria-live Region. Selected goal display not announced to screen readers.,OPEN,,No resolution found,1,PR80-9,Unknown
U053,80,80,LOW,,Claude Bot Review #1,- Missing Refresh Callback. No onContributionUndone callback for UI refresh after undo.,OPEN,,No resolution found,1,PR80-10,Unknown
U054,80,80,LOW,,Claude Bot Review #3,"- Error Handling: Silent Failures. When `addContribution` fails, there's no user-facing error notification. User clicks button, nothing happens. **Fix**: Add error toast when `result.success === false",OPEN,,No resolution found,1,PR80-11,Unknown
U055,80,80,LOW,,Claude Bot Review #3,- Type Safety: Missing Import. `React` namespace used without import.,OPEN,,No resolution found,1,PR80-12,Unknown
U056,80,80,LOW,,"Claude Bot Review #2, #3",- Missing onGoalComplete Prop. QuickAddSection missing onGoalComplete prop in Goals.tsx:152-156. **Impact**: Phase 7 confetti won't work. **Fix**: Add prop OR defer to Phase 7 with TODO.,OPEN,,No resolution found,1,PR80-13,Unknown
U057,81,81,CRITICAL,,Claude Bot Review #1 - C1,- Missing Tests for Business Logic (Constitution Violation). Constitution v3.1 requires TDD for business logic. The celebration modal contains date calculations (differenceInMonths) and currency forma,OPEN,,No resolution found,1,PR81-1,Unknown
U058,81,81,CRITICAL,,Claude Bot Review #1 - C2,"- Race Condition in handleGoalComplete. Goals.tsx doesn't call refreshGoals() after celebration triggers, meaning the modal may show stale data. **Fix**: Add refreshGoals() call in handleGoalComplete ",OPEN,,No resolution found,1,PR81-2,Unknown
U059,81,81,HIGH,,Claude Bot Review #1 - H1,"- Missing Focus Management. When modal opens, focus should move to the modal title (WCAG 2.2 AA requirement). **Fix**: Add useRef + useEffect to focus the DialogTitle when modal opens.",OPEN,,No resolution found,1,PR81-3,Unknown
U060,81,81,HIGH,,Claude Bot Review #1 - H2,"- No Goal Data Validation. Missing validation for required fields (createdAt, updatedAt, currentAmount). Could crash with NaN or Invalid Date. **Fix**: Add proper validation before calculations with d",OPEN,,No resolution found,1,PR81-4,Unknown
U061,81,81,HIGH,,Claude Bot Review #1 - H3,- Performance Issue. prefersReducedMotion check runs on every render via IIFE. Should be memoized with useMemo.,OPEN,,No resolution found,1,PR81-5,Unknown
U062,81,81,MEDIUM,,Claude Bot Review #1 - M1 / Review #2 - M1,"- Missing Test Coverage (Constitution v3.1 Requirement). Phase 1 requires TDD for business logic (80% coverage for lib/**/*.ts). While UI components do not require tests in Phase 1, the calculation lo",OPEN,,No resolution found,1,PR81-6,Unknown
U063,81,81,MEDIUM,,Claude Bot Review #1 - M2 / Review #2 - M2,"- Potential Date Parsing Issue (ECMAScript Quirk). ECMAScript spec quirk - date-only strings are parsed as UTC, which can cause timezone issues (see ADR-003 in docs/architecture/decisions/). **Questio",OPEN,,No resolution found,1,PR81-7,Unknown
U064,81,81,MEDIUM,,Claude Bot Review #2 - M3,"- Animation Class Not Defined in Tailwind. Uses animate-fade-in Tailwind class, but bot doesn't see it defined in the codebase. **Question**: Is animate-fade-in a custom Tailwind utility? Verify it is",OPEN,,No resolution found,1,PR81-8,Unknown
U065,81,81,LOW,,Claude Bot Review #2 - L1,"- Inline Function Definition in Render (Minor Performance). prefersReducedMotion is recalculated on every render using an IIFE. While not a performance bottleneck in Phase 1, this could be optimized w",OPEN,,No resolution found,1,PR81-9,Unknown
U066,81,81,LOW,,Claude Bot Review #1 - M2 / Review #2 - L2,"- Poor UX - Archive Button Uses alert(). Browser alert() is jarring and breaks polished UX. Replace with toast.info() for consistency. Archive functionality ""coming soon"" alert is acceptable for Phase",OPEN,,No resolution found,1,PR81-10,Unknown
U067,82,82,MEDIUM,,GoalForm.tsx lines 274-280,"The recalculation Alert uses Shadcn's default role=""alert"" but doesn't have aria-live=""assertive"" or aria-live=""polite"". Screen readers should announce when required monthly changes (important informa",OPEN,,No resolution found,1,PR82-1,Review #1
U068,82,82,UNKNOWN,,GoalForm.tsx lines 97-123 (recalculation effect),"The recalculation effect runs on every keystroke when user types in target amount field. Example: User types ""5000"" → effect runs 4 times (""5"", ""50"", ""500"", ""5000""), each calling getRequiredMonthly() ",OPEN,,No resolution found,1,PR82-2,Review #2
U069,82,82,LOW,,GoalCard.tsx lines 173-176,"The ARIA live region announces status on every render, which could be noisy for screen reader users if component re-renders frequently (e.g., when parent state updates).",OPEN,,No resolution found,1,PR82-3,Review #1
U070,82,82,UNKNOWN,,GoalForm.tsx line 123,"The recalculation useEffect depends on previousRequiredMonthly, which could cause unexpected behavior if the logic becomes more complex.",OPEN,,No resolution found,1,PR82-4,Review #1
U071,82,82,UNKNOWN,,GoalForm.tsx lines 274-280,"For recalculation messages, role=""status"" might be more appropriate than role=""alert"" since it's informational (not an error/warning). Current implementation works fine though.",OPEN,,No resolution found,1,PR82-5,Review #2
U072,83,83,MEDIUM,,ContributionForm.tsx line 110,Type expects `note: string | null` but code passes `undefined`. Line 110: `note.trim() || undefined` should be `note.trim() || null`.,OPEN,,No resolution found,1,PR83-1,Review #1
U073,83,83,UNKNOWN,,"ContributionForm.tsx lines 128, 188",Enter key handler on textarea prevents newlines. Users expect Enter to create newlines in textareas.,OPEN,,No resolution found,1,PR83-2,Review #1
U074,83,83,UNKNOWN,,ContributionForm.tsx line 191,Enter key in textarea submits form instead of creating new line. The `onKeyPress={handleKeyPress}` prevents Enter from creating new line. Standard UX: users expect Enter to create new line in multi-li,OPEN,,No resolution found,1,PR83-3,Review #2
U075,83,83,LOW,,PR description,Missing manual test evidence in PR description.,OPEN,,No resolution found,1,PR83-4,Review #1
U076,83,83,UNKNOWN,,ContributionForm.tsx line 28,`onGoalComplete?: (goal: any) => void` uses `any` type. Should use `Goal` interface for type safety.,OPEN,,No resolution found,1,PR83-5,Review #2
U077,84,84,CRITICAL,,frontend/src/features/goals/lib/__tests__/GoalStorageService.test.ts,The PR adds new `unarchiveGoal()` function to GoalStorageService.ts but NO TESTS were written for it. This violates Constitution v3.1 Phase 1 requirements: 80% coverage target for lib/,OPEN,,Missing in PR #84,1,PR84-1,Both Review #1 and Review #2
U078,84,84,UNKNOWN,,frontend/src/pages/Goals.tsx:284-300,"The unarchiveGoal() function is implemented in service layer and exposed via useGoals hook, but there's NO WAY FOR USERS TO UNARCHIVE goals from the UI. Evidence: Line 45 destructures unarchiveGoal fr",OPEN,,Missing in PR #84,1,PR84-2,Review #2 only
U079,84,84,HIGH,,"frontend/src/pages/Goals.tsx:266-270, 286-290","Empty state messages lack semantic HTML and ARIA labels for screen readers. Constitution Violation: Principle II (Accessibility-First, WCAG 2.2 AA).",OPEN,,No resolution found,1,PR84-3,Review #2 only
U080,84,84,UNKNOWN,,"frontend/src/pages/Goals.tsx:122-127, 172-179",Using alert() for error messages violates UX best practices and accessibility guidelines. PayPlan uses Shadcn UI components which include a Toast system.,OPEN,,No resolution found,1,PR84-4,Review #2 only
U081,84,84,MEDIUM,,frontend/src/features/goals/lib/GoalStorageService.ts:351,"The error message ""Cannot unarchive non-archived goal"" is hardcoded instead of using ERROR_MESSAGES constant. This breaks consistency with existing pattern (all other errors use constants), makes it h",OPEN,,Missing in PR #84,1,PR84-5,Both Review #1 and Review #2
U082,84,84,LOW,,"frontend/src/pages/Goals.tsx:121, 171","New handlers (handleArchiveGoal, handleArchiveFromCelebration) lack JSDoc comments.",OPEN,,No resolution found,1,PR84-6,Review #2 only
U083,85,85,CRITICAL,,"frontend/src/features/goals/lib/export.ts (222 lines, 0% coverage)",New export.ts file contains 222 lines of business logic with ZERO tests. Constitution v3.1 REQUIRES TDD for all business logic in lib/,OPEN,,Persists through PR #85,1,PR85-1,Both Review #1 and Review #2
U084,85,85,UNKNOWN,,frontend/src/features/dashboard/lib/storage.ts:179-180,"Using dynamic require() with ESLint disable is a code smell that masks circular dependency issue. Can cause bundle size bloat, runtime errors in production, maintenance nightmares. Current: `const { l",OPEN,,No resolution found,1,PR85-2,Review #1 only
U085,85,85,HIGH,,frontend/src/features/goals/lib/export.ts:125,"Comment says ""Fixed: currentAmount, not savedAmount"" but currentAmount field may not exist on Goal type. Line 125: `currentAmount: formatCurrency(goal.currentAmount)`. Need to verify field exists in f",OPEN,,No resolution found,1,PR85-3,Review #1 only
U086,85,85,UNKNOWN,,frontend/src/features/goals/components/ExportGoalsButton.tsx:51-68,"Export functions can throw exceptions (PapaParse errors, JSON.stringify circular refs) but errors only caught at component level. If exportGoalsToCSV() throws, user sees generic error.",OPEN,,No resolution found,1,PR85-4,Review #1 only
U087,85,85,UNKNOWN,,frontend/src/features/goals/hooks/useGoals.ts:135-142,"Storage quota checked BEFORE goal creation, but another tab could consume storage between check and save operation (race condition). Quota check happens before creation but write could still fail.",OPEN,,No resolution found,1,PR85-5,Both Review #1 and Review #2
U088,85,85,UNKNOWN,,frontend/src/features/goals/lib/export.ts:25-44,"Three regex issues: (1) Name pattern too aggressive (line 40) - will redact legitimate goal names like ""Save For Christmas"" or ""Buy New Car"", (2) Credit card pattern incomplete (line 36) - won't catch",OPEN,,No resolution found,1,PR85-6,Both Review #1 and Review #2
U089,85,85,MEDIUM,,frontend/src/features/goals/lib/export.ts:106,"CSV export only includes contributionCount but not individual contribution details (dates, amounts, notes). Makes export less useful for users who want full history.",OPEN,,No resolution found,1,PR85-7,Review #1 only
U090,85,85,UNKNOWN,,frontend/src/features/goals/components/ExportGoalsButton.tsx:100,"Button text changes to ""Exporting..."" but no visual loading indicator (spinner). For large datasets, users might think app is frozen.",OPEN,,No resolution found,1,PR85-8,Review #1 only
U091,85,85,UNKNOWN,,frontend/src/features/dashboard/lib/storage.ts:178-180,Using dynamic require() to avoid circular dependency is code smell. Will break in environments that don't support CommonJS.,OPEN,,No resolution found,1,PR85-9,Review #2 only (duplicate of Issue 2 but different severity)
U092,85,85,UNKNOWN,,frontend/src/features/goals/components/ExportGoalsButton.tsx:44-45,"Export errors stored in local state but cleared on component unmount. If export fails, user switches tabs and comes back - error message gone.",OPEN,,No resolution found,1,PR85-10,Review #2 only
